voted_for_in_2012_election,political_spectrum,gender,living_location,education,reltrad,social_class
Mitt Romney,1-Extremely Conservative,Female,rural,College graduate,Evangelical Protestant,Middle class
Barack Obama,4-Moderate,Female,large-city,Some college,Black Protestant,Lower middle class
Barack Obama,6-Liberal,Female,small-city,Some college,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Female,suburb,Trade/Technical/Vocational training,Mainline Protestant,Lower middle class
Did not vote,2-Conservative,Male,large-city,High school graduate,Evangelical Protestant,Middle class
Barack Obama,3-Leaning Conservative,Female,large-city,College graduate,No Affiliation,Lower middle class
Barack Obama,2-Conservative,Female,small-city,Some college,Evangelical Protestant,Lower class
Mitt Romney,2-Conservative,Male,rural,College graduate,Evangelical Protestant,Lower middle class
Mitt Romney,2-Conservative,Female,small-city,Some college,Mainline Protestant,Upper middle class
Someone else,2-Conservative,Male,small-city,College graduate,Evangelical Protestant,Middle class
Mitt Romney,3-Leaning Conservative,Female,rural,Postgraduate work/Degree,Mainline Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Female,large-city,Postgraduate work/Degree,Jewish,Middle class
Barack Obama,2-Conservative,Female,large-city,Some college,Evangelical Protestant,Lower middle class
Mitt Romney,2-Conservative,Male,large-city,College graduate,Catholic,Upper middle class
Mitt Romney,4-Moderate,Male,suburb,College graduate,Mainline Protestant,Middle class
Mitt Romney,3-Leaning Conservative,Female,suburb,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,4-Moderate,Male,small-city,Some college,Catholic,Middle class
Mitt Romney,4-Moderate,Female,large-city,High school graduate,Evangelical Protestant,Upper middle class
Mitt Romney,3-Leaning Conservative,Male,suburb,College graduate,Other,Upper middle class
Mitt Romney,2-Conservative,Female,small-city,Some college,Evangelical Protestant,Middle class
Did not vote,4-Moderate,Female,small-city,High school graduate,Mainline Protestant,Middle class
Did not vote,4-Moderate,Male,small-city,College graduate,Catholic,Lower middle class
Mitt Romney,2-Conservative,Female,suburb,College graduate,Catholic,Middle class
Barack Obama,3-Leaning Conservative,Female,large-city,Postgraduate work/Degree,No Affiliation,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,rural,Less than high school (no diploma),Evangelical Protestant,Middle class
Barack Obama,7-Extremely liberal,Male,suburb,Postgraduate work/Degree,Jewish,Upper middle class
Mitt Romney,3-Leaning Conservative,Female,large-city,Less than high school (no diploma),Catholic,Middle class
Barack Obama,4-Moderate,Female,small-city,Trade/Technical/Vocational training,Catholic,Middle class
Someone else,4-Moderate,Female,rural,Trade/Technical/Vocational training,No Affiliation,Upper middle class
Barack Obama,4-Moderate,Male,large-city,Trade/Technical/Vocational training,Black Protestant,Middle class
Mitt Romney,4-Moderate,Male,large-city,Postgraduate work/Degree,No Affiliation,Lower middle class
Mitt Romney,4-Moderate,Male,small-city,Postgraduate work/Degree,Catholic,Upper middle class
Barack Obama,7-Extremely liberal,Female,small-city,Postgraduate work/Degree,No Affiliation,Lower middle class
Barack Obama,5-Leaning liberal,Female,suburb,Postgraduate work/Degree,Catholic,Middle class
Mitt Romney,2-Conservative,Male,small-city,Postgraduate work/Degree,Mainline Protestant,Upper middle class
Did not vote,2-Conservative,Female,large-city,Postgraduate work/Degree,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Male,suburb,College graduate,Mainline Protestant,Middle class
Did not vote,4-Moderate,Female,small-city,Some college,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Female,large-city,High school graduate,Evangelical Protestant,UpperClass
Did not vote,4-Moderate,Male,suburb,Trade/Technical/Vocational training,Evangelical Protestant,Lower middle class
Mitt Romney,4-Moderate,Male,suburb,College graduate,Catholic,Lower middle class
Barack Obama,6-Liberal,Female,large-city,Postgraduate work/Degree,Catholic,Lower middle class
Barack Obama,4-Moderate,Male,suburb,Postgraduate work/Degree,Catholic,Upper middle class
Barack Obama,4-Moderate,Male,suburb,Postgraduate work/Degree,Black Protestant,Middle class
Barack Obama,5-Leaning liberal,Female,large-city,College graduate,No Affiliation,Middle class
Did not vote,4-Moderate,Male,rural,High school graduate,Catholic,Lower middle class
Barack Obama,4-Moderate,Female,small-city,Less than high school (no diploma),Evangelical Protestant,Lower middle class
Mitt Romney,2-Conservative,Female,small-city,College graduate,Evangelical Protestant,Upper middle class
Did not vote,4-Moderate,Female,small-city,Some college,Evangelical Protestant,Lower class
Did not vote,4-Moderate,Male,small-city,High school graduate,No Affiliation,Middle class
Barack Obama,4-Moderate,Male,small-city,Some college,Evangelical Protestant,Upper middle class
Mitt Romney,4-Moderate,Male,suburb,College graduate,Mainline Protestant,Lower middle class
,5-Leaning liberal,Female,large-city,,Black Protestant,Middle class
Barack Obama,4-Moderate,Male,small-city,Some college,No Affiliation,Middle class
Barack Obama,4-Moderate,Female,small-city,College graduate,Evangelical Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,small-city,Some college,Mainline Protestant,Middle class
Mitt Romney,1-Extremely Conservative,Male,suburb,Less than high school (no diploma),Evangelical Protestant,Middle class
Mitt Romney,1-Extremely Conservative,Female,suburb,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,4-Moderate,Female,suburb,Some college,Mainline Protestant,Middle class
Mitt Romney,1-Extremely Conservative,Male,small-city,Some college,No Affiliation,Middle class
Barack Obama,7-Extremely liberal,Female,suburb,College graduate,Mainline Protestant,Upper middle class
Barack Obama,7-Extremely liberal,Male,small-city,Postgraduate work/Degree,Jewish,Middle class
Barack Obama,5-Leaning liberal,Female,large-city,Postgraduate work/Degree,No Affiliation,Middle class
Mitt Romney,1-Extremely Conservative,Male,rural,Some college,Evangelical Protestant,Lower middle class
Barack Obama,6-Liberal,Male,small-city,College graduate,Mainline Protestant,Middle class
Mitt Romney,4-Moderate,Male,large-city,Postgraduate work/Degree,No Affiliation,Middle class
Mitt Romney,4-Moderate,Male,large-city,Postgraduate work/Degree,Evangelical Protestant,Middle class
,6-Liberal,Female,large-city,High school graduate,Catholic,Middle class
Barack Obama,3-Leaning Conservative,Male,small-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Mitt Romney,3-Leaning Conservative,Female,suburb,College graduate,Evangelical Protestant,Upper middle class
Someone else,2-Conservative,Male,large-city,College graduate,No Affiliation,Upper middle class
Did not vote,,Female,small-city,Less than high school (no diploma),Mainline Protestant,Lower middle class
Mitt Romney,4-Moderate,Male,rural,High school graduate,Mainline Protestant,Lower middle class
Did not vote,1-Extremely Conservative,Male,large-city,Some college,Catholic,Lower middle class
Did not vote,4-Moderate,Female,rural,Less than high school (no diploma),Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Female,small-city,College graduate,Catholic,Lower middle class
Barack Obama,6-Liberal,Female,small-city,High school graduate,Catholic,Upper middle class
Did not vote,4-Moderate,Female,suburb,Trade/Technical/Vocational training,No Affiliation,Lower middle class
Barack Obama,4-Moderate,Female,suburb,High school graduate,Catholic,Lower middle class
Barack Obama,5-Leaning liberal,Male,small-city,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,6-Liberal,Female,large-city,Some college,No Affiliation,Middle class
Mitt Romney,3-Leaning Conservative,Female,suburb,Postgraduate work/Degree,Mainline Protestant,Middle class
Someone else,2-Conservative,Male,rural,Postgraduate work/Degree,Mainline Protestant,Middle class
Mitt Romney,1-Extremely Conservative,Male,large-city,Some college,Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Female,large-city,Trade/Technical/Vocational training,No Affiliation,Lower class
Mitt Romney,1-Extremely Conservative,Female,small-city,College graduate,Mainline Protestant,Upper middle class
Someone else,2-Conservative,Male,suburb,College graduate,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Female,suburb,College graduate,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Male,large-city,Postgraduate work/Degree,Other,Lower middle class
Barack Obama,4-Moderate,Female,small-city,Some college,Evangelical Protestant,Middle class
Mitt Romney,4-Moderate,Female,small-city,Some college,Mainline Protestant,Middle class
Barack Obama,6-Liberal,Female,small-city,College graduate,Mainline Protestant,Middle class
Barack Obama,2-Conservative,Female,small-city,Some college,Evangelical Protestant,Lower class
Did not vote,4-Moderate,Female,small-city,Some college,No Affiliation,Lower class
Barack Obama,5-Leaning liberal,Male,suburb,College graduate,Evangelical Protestant,Middle class
Mitt Romney,4-Moderate,Male,suburb,Postgraduate work/Degree,Catholic,Upper middle class
Someone else,3-Leaning Conservative,Male,rural,College graduate,Mainline Protestant,Lower middle class
Barack Obama,4-Moderate,Female,small-city,College graduate,Black Protestant,Lower middle class
Barack Obama,5-Leaning liberal,Female,suburb,Some college,Other,Lower middle class
Barack Obama,4-Moderate,Female,suburb,College graduate,No Affiliation,Upper middle class
Did not vote,4-Moderate,Female,suburb,Postgraduate work/Degree,Catholic,Middle class
Mitt Romney,4-Moderate,Male,small-city,Less than high school (no diploma),Mainline Protestant,Lower middle class
